gameid,date,league,patch,blue,red,blue_win,best_of
LPL/2022 Season/Spring Season_Week 1_1_1,2022-01-10 09:24:00,LPL,12.1,Oh My God,ThunderTalk Gaming,1,1
LPL/2022 Season/Spring Season_Week 1_1_2,2022-01-10 10:09:00,LPL,12.1,Oh My God,ThunderTalk Gaming,1,1
LPL/2022 Season/Spring Season_Week 1_2_1,2022-01-10 11:26:00,LPL,12.1,FunPlus Phoenix,Royal Never Give Up,1,1
LPL/2022 Season/Spring Season_Week 1_2_2,2022-01-10 12:18:00,LPL,12.1,FunPlus Phoenix,Royal Never Give Up,0,1
LPL/2022 Season/Spring Season_Week 1_2_3,2022-01-10 13:17:00,LPL,12.1,Royal Never Give Up,FunPlus Phoenix,0,1
LPL/2022 Season/Spring Season_Week 1_3_1,2022-01-11 09:19:00,LPL,12.1,JD Gaming,EDward Gaming,0,1
LPL/2022 Season/Spring Season_Week 1_3_2,2022-01-11 10:07:00,LPL,12.1,JD Gaming,EDward Gaming,0,1
LPL/2022 Season/Spring Season_Week 1_4_1,2022-01-11 11:22:00,LPL,12.1,LGD Gaming,Anyone's Legend,1,1
LPL/2022 Season/Spring Season_Week 1_4_2,2022-01-11 12:19:00,LPL,12.1,Anyone's Legend,LGD Gaming,1,1
LPL/2022 Season/Spring Season_Week 1_4_3,2022-01-11 13:08:00,LPL,12.1,LGD Gaming,Anyone's Legend,0,1
LCK/2022 Season/Spring Season_Week 1_1_1,2022-01-12 08:27:00,LCK,12.1,DRX,Liiv SANDBOX,0,1
LPL/2022 Season/Spring Season_Week 1_5_1,2022-01-12 09:20:00,LPL,12.1,Rare Atom,Top Esports,1,1
LCK/2022 Season/Spring Season_Week 1_1_2,2022-01-12 09:25:00,LCK,12.1,DRX,Liiv SANDBOX,0,1
LPL/2022 Season/Spring Season_Week 1_5_2,2022-01-12 10:15:00,LPL,12.1,Top Esports,Rare Atom,0,1
LCK/2022 Season/Spring Season_Week 1_2_1,2022-01-12 11:12:00,LCK,12.1,T1,Kwangdong Freecs,1,1
LPL/2022 Season/Spring Season_Week 1_6_1,2022-01-12 11:26:00,LPL,12.1,Ultra Prime,LNG Esports,0,1
LCK/2022 Season/Spring Season_Week 1_2_2,2022-01-12 12:14:00,LCK,12.1,Kwangdong Freecs,T1,0,1
LPL/2022 Season/Spring Season_Week 1_6_2,2022-01-12 12:20:00,LPL,12.1,Ultra Prime,LNG Esports,0,1
LCK/2022 Season/Spring Season_Week 1_3_1,2022-01-13 08:17:00,LCK,12.1,Nongshim RedForce,Hanwha Life Esports,1,1
LCK/2022 Season/Spring Season_Week 1_3_2,2022-01-13 09:16:00,LCK,12.1,Hanwha Life Esports,Nongshim RedForce,1,1
LPL/2022 Season/Spring Season_Week 1_7_1,2022-01-13 09:20:00,LPL,12.1,ThunderTalk Gaming,Invictus Gaming,0,1
LPL/2022 Season/Spring Season_Week 1_7_2,2022-01-13 10:06:00,LPL,12.1,Invictus Gaming,ThunderTalk Gaming,1,1
LCK/2022 Season/Spring Season_Week 1_3_3,2022-01-13 10:14:00,LCK,12.1,Nongshim RedForce,Hanwha Life Esports,0,1
LPL/2022 Season/Spring Season_Week 1_8_1,2022-01-13 11:24:00,LPL,12.1,Team WE,Weibo Gaming,0,1
LCK/2022 Season/Spring Season_Week 1_4_1,2022-01-13 12:06:00,LCK,12.1,KT Rolster,DWG KIA,0,1
LPL/2022 Season/Spring Season_Week 1_8_2,2022-01-13 12:25:00,LPL,12.1,Weibo Gaming,Team WE,1,1
LCK/2022 Season/Spring Season_Week 1_4_2,2022-01-13 13:17:00,LCK,12.1,KT Rolster,DWG KIA,0,1
LPL/2022 Season/Spring Season_Week 1_9_1,2022-01-14 07:20:00,LPL,12.1,LGD Gaming,FunPlus Phoenix,0,1
LCK/2022 Season/Spring Season_Week 1_5_1,2022-01-14 08:10:00,LCK,12.1,DRX,Gen.G,0,1
LPL/2022 Season/Spring Season_Week 1_9_2,2022-01-14 08:16:00,LPL,12.1,LGD Gaming,FunPlus Phoenix,0,1
